User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Jurisdiction Level,Jurisdiction State,Agency,Agency ID,Followup Date,Estimated Completion Date,Requested Documents,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags,Price,Date Submitted,Date Due,Date Done,Slug
jacobsilverman,2019 FBINAA hacking incident,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/2019-fbinaa-hacking-incident-99793/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"All information, including reports, emails, and memos, about the 2019 hack of three FBI National Academy Associates websites, as described in this press release:

https://myemail.constantcontact.com/FBINAA-Press-Release.html?soid=1103447516152&aid=BXSLjJr2U-A

More information can be found in this TechCrunch article:  https://techcrunch.com/2019/04/12/police-data-hack/

I am also interested in any documents or communications regarding the company Netsential, who I believe was the developer of the affected websites.",1472004-000,FALSE,316,265,,,0.00,2020-08-03 23:08:48.869321+00:00,2020-08-31,2020-09-24 11:07:14.929978+00:00,2019-fbinaa-hacking-incident-99793
PWRobinson,2019 Ventura County Homeless Manner of Death (Federal Bureau of Investigation),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/2019-ventura-county-homeless-manner-of-death-federal-bureau-of-investigation-90866/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Please provide all information related to the circumstances of death for the 82 homeless folks who, according to the 2019 homeless memorial service, died in Ventura County last year (2019). A simple breakdown of the categories of death and number of each. Thank you",NFP-119534,FALSE,454,392,,,0.00,2020-03-19 03:49:56.170393+00:00,2020-04-15,2020-05-20 04:56:00+00:00,2019-ventura-county-homeless-manner-of-death-federal-bureau-of-investigation-90866
EmmaBest,26-449053,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/26-449053-90606/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2020-10-18,,A copy of file 26-449053.,,FALSE,461,331,,,0.00,2020-03-12 14:22:06.760872+00:00,2020-04-09,,26-449053-90606
lknight7676,3D Printed Vinyl Records (FBI),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/3d-printed-vinyl-records-fbi-22251/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,2016-03-11,,"Any case files, emails, meeting minutes, notes, or memos pertaining to investigations or criminal implications of 3D printing enabled intellectual property theft or bootlegging of music, such as the printing of functional vinyl records capable of playing back copyrighted works of music.",1339551-000,FALSE,2051,1953,,,0.00,2015-11-04 05:00:00+00:00,2015-12-04,2015-12-01 00:00:00+00:00,3d-printed-vinyl-records-fbi-22251
EmmaBest,50 More Fun Words (2018) (Federal Bureau of Investigation),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/50-more-fun-words-2018-federal-bureau-of-investigation-75244/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"To Whom It May Concern:

Pursuant to the { law name }, I hereby request the following records:

Copies of emails sent to or from either the director's office (or equivalent) as well as their chief of staff (or equivalent) and executive director (or equivalent) containing any of the following 50 (non-case sensitive) words between 1 January 2018 and the present:

1. damn
2. damnit
3. goddamn
4. goddam
5. goddammit
6. webcomic
7. hurt
8. accuse
9. accused
10. allege
11. alleges
12. alleged
13. disgrace
14. disgraced
15. worry
16. worries
17. worried
18. lost
19. perjury
20. perjured
21. lie 
22. lies 
23. lied
24. 1001
25. 1621
26. game
27. marijuana
28. drug
29. activist
30. activists
31. riot
32. soda
33. reward
34. prize
35. save
36. kill
37. decimate
38. punish
39. punishment
40. penalize
41. penalized
42. shred
43. wipe
44. erase
45. delete
46. bastard
47. bitch
48. bitched
49. bitching
50. dessert

The requested documents will be made available to the general public, and this request is not being made for commercial purposes.

In the event that there are fees, I would be grateful if you would inform me of the total charges in advance of fulfilling my request. I would prefer the request filled electronically, by e-mail attachment if available or CD-ROM if not.

Thank you in advance for your anticipated cooperation in this matter.

I look forward to receiving your response to this request within { days }.

Sincerely,

{ name }","1439766-000, DOJ-AP-2019-007323",FALSE,736,545,,,0.00,2019-06-11 18:26:55.534738+00:00,2019-07-10,2019-12-19 15:05:54.157083+00:00,50-more-fun-words-2018-federal-bureau-of-investigation-75244
saizai,"5 USC 552(a)(1,2) documents",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/5-usc-552a12-documents-43148/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,,"18-019, DOJ-AP-2018-000962",FALSE,1364,1240,"552(a)(1,2) documents",,0.00,2017-09-21 04:00:00+00:00,2017-10-20,2018-01-23 00:00:00+00:00,5-usc-552a12-documents-43148
EmmaBest,62-99724,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/62-99724-62964/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,A copy of file 62-99724.,"1421115-000, DOJ-AP-2019-002959",FALSE,961,72,,james angleton,0.00,2018-10-29 15:00:15.109675+00:00,2018-11-28,2021-04-05 04:56:00+00:00,62-99724-62964
EmmaBest,92-0711-TAF,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/92-0711-taf-42733/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of FBI file 92-0711, which may be listed under CA-92-0711-TAF, CA-92-0711 or 92-0711-TAF. 

I am a member of the news media and request classification as such. I am freelance writer who has previously written about the government and its activities for MuckRock, Motherboard, Unicorn Riot, AND Magazine and Glomar Disclosure. My articles have been widely read, with some reaching over 100,000 readers. My work has been further discussed in outlets including the New York Times, the Washington Post, and BBC. As such, as I have a reasonable expectation of publication and my editorial and writing skills are well established. In addition, I discuss and comment on the files online and make them available through the non-profit Internet Archive, disseminating them to a large audience. While my research is not limited to this, a great deal of it, including this, focuses on the activities and attitudes of the government itself. As such, it is not necessary for me to demonstrate the relevance of this particular subject in advance. Additionally, case law states that “proof of the ability to disseminate the released information to a broad cross-section of the public is not required.” Judicial Watch, Inc. v. Dep’t of Justice, 365 F.3d 1108, 1126 (D.C. Cir. 2004); see Carney v. U.S. Dep’t of Justice, 19 F.3d 807, 814-15 (2d Cir. 1994). Further, courts have held that ""qualified because it also had “firm” plans to “publish a number of . . . ‘document sets’” concerning United States foreign and national security policy."" Under this criteria, as well, I qualify as a member of the news media. Additionally, courts have held that the news media status ""focuses on the nature of the requester, not its request. The provision requires that the request be “made by” a representative of the news media. Id. § 552(a)(4)(A)(ii)(II). A newspaper reporter, for example, is a representative of the news media regardless of how much interest there is in the story for which he or she is requesting information."" As such, the details of the request itself are moot for the purposes of determining the appropriate fee category. As such, my primary purpose is to inform about government activities by reporting on it and making the raw data available and I therefore request that fees be waived. Per DOJ FOIA guidance, ""a requester should be granted a fee waiver if the requested information (1) sheds light on the activities and operations of the government; (2) is likely to contribute significantly to public understanding of those operations and activities; and (3) is not primarily in the commercial interest of the requester."" As this FOIA meets all of those requirements (see above regarding the subject and how I will apply the information), a fee waiver is warranted.","NFP-81943, DOJ-AP-2018-008764",FALSE,1380,645,"Iran-Contra, October Surprise and Reagan's Wrongs","inslaw,promis,racketeering enterprise investigations",0.00,2017-09-05 04:00:00+00:00,2018-06-07,2019-09-10 12:59:06.706756+00:00,92-0711-taf-42733
waqasahmi,Aaron Driver,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/aaron-driver-27811/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of any files the FBI has on Aaron Driver, who was killed on August 10, 2016 by the Royal Canadian Mounted Police (RCMP).

According to Mike Cabana, RCMP deputy commissioner, the FBI had initially alerted the RCMP about Aaron Driver. See: http://www.bbc.com/news/world-us-canada-37053521.

His death was widely reported. See, for example: http://www.cbc.ca/news/canada/toronto/aaron-driver-autopsy-1.3722972.",1366749-000,FALSE,1764,1429,,,0.00,2016-08-17 04:00:00+00:00,2016-09-15,2017-07-11 00:00:00+00:00,aaron-driver-27811
TransparentByDefault,Abdul Razak Ali Artan [FBI],Rejected,https://www.muckrock.com/foi/united-states-of-america-10/abdul-razak-ali-artan-fbi-30352/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any and all documents mentioning Abdul Razak Ali Artan (18), killed by police Nov 28, 2016 at Ohio State University. His death was widely reported: http://www.cnn.com/2016/11/28/us/ohio-state-university-active-shooter/index.html",1362758-000,FALSE,1661,1647,,,0.00,2016-11-28 05:00:00+00:00,2016-12-27,2016-12-12 00:00:00+00:00,abdul-razak-ali-artan-fbi-30352
sixty91,Agha Hasan Abedi,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/agha-hasan-abedi-35826/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Agha Hasan Abedi also known as Agha Sahab (14 May 1922 – 5 August 1995) was a Pakistani banker and philanthropist who founded the Bank of Credit and Commerce International (BCCI) in 1972. BCCI was, at one point, the seventh largest private bank in the world, but it collapsed in 1991 after regulators in the United States and the United Kingdom found it was involved in a money laundering scandal.Mr. Abedi underwent a heart transplant operation in 1988, and died of a heart attack on 5 August 1995 in Karachi.

https://www.independent.co.uk/news/people/agha-hasan-abedi-1595422.html
http://www.nytimes.com/1995/08/06/obituaries/agha-hasan-abedi-74-dies-in-the-shadow-of-a-vast-fraud.html",1399115-000,FALSE,1514,1108,,,0.00,2017-04-24 04:00:00+00:00,,,agha-hasan-abedi-35826
mjguariglia,Alan Brinkley FBI,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/alan-brinkley-fbi-75440/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,The FBI file of notable historian Alan Brinkley.,1440059-000,FALSE,730,720,,,0.00,2019-06-17 15:13:17.419043+00:00,2019-07-16,2019-06-27 18:35:42.173905+00:00,alan-brinkley-fbi-75440
EmmaBest,Alan Standorf,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/alan-standorf-23695/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Records relating to Alan David Standorf, a civilian employee at Vint Hill Farm who was found dead in his car of an apparent blunt force blow to the back of the head around January 4, 1991. His death has been widely reported. http://articles.mcall.com/1991-02-07/news/2786588_1_army-in-new-jersey-metropolitan-washington-national-airport-job","1344362, DOJ-AP-2017-003470",FALSE,1964,1471,"Iran-Contra, October Surprise and Reagan's Wrongs",,0.00,2016-01-30 05:00:00+00:00,2016-02-29,2017-06-06 00:00:00+00:00,alan-standorf-23695
foiathedead,"Albert Vorspan, FBI file",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/albert-vorspan-fbi-file-69593/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Albert Vorspan, an obituary of whom was published in The New York Times on February 19, 2019 under the headline ""Albert Vorspan, 95, Is Dead; Rallied Reform Judaism for Social Justice"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2019/02/19/obituaries/albert-vorspan-dead.html.",1429585-000,FALSE,847,832,,,0.00,2019-02-20 21:04:00.776707+00:00,2019-03-20,2019-03-07 12:36:57.249816+00:00,albert-vorspan-fbi-file-69593
foiathedead,"Aldo Parisot, FBI file",Rejected,https://www.muckrock.com/foi/united-states-of-america-10/aldo-parisot-fbi-file-66817/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"A copy of all documents or FBI files pertaining to Aldo Parisot, an obituary of whom was published in The New York Times on January 1, 2019 under the headline ""Aldo Parisot, Eminent Cello Teacher and Yale Fixture, Dies at 100"". Please see attached PDF copy of that obituary, which may also be found at https://www.nytimes.com/2019/01/01/arts/aldo-parisot-dead.html.",1425993-000,FALSE,896,876,,,0.00,2019-01-02 20:07:42.300467+00:00,2019-01-31,2019-01-22 12:17:58.352396+00:00,aldo-parisot-fbi-file-66817
beryllipton,Alexandre Cazes (FBI),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/alexandre-cazes-fbi-40344/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Any and all files and materials regarding or referencing Alexandre Cazes, who passed away on July 12, 2017. 

Please include all potentially responsive materials, including but not limited to all communications, reports, inquiries, investigations, photographs, audio files, video files, memos, directives, etc. Please include all materials found in other subject files and all materials associated with any potentially-related names. 

Please consult all available cross-reference indices and databases, in addition to any other locations containing potentially-responsive materials, as well as the Central Records System.",1380814-000,FALSE,1427,1412,,,0.00,2017-07-20 04:00:00+00:00,2017-08-17,2017-08-04 00:00:00+00:00,alexandre-cazes-fbi-40344
EmmaBest,Alexandria 161B-8723,Rejected,https://www.muckrock.com/foi/united-states-of-america-10/alexandria-161b-8723-74049/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"Copies of any records of destruction for Alexandria file 161B-8723, as described in the attached document.",1439861-000,FALSE,750,678,,,0.00,2019-05-28 02:38:05.438366+00:00,2019-06-24,2019-08-08 19:31:49.587547+00:00,alexandria-161b-8723-74049
anthonyroberts,Alistair Reader of the Department of Justice Consumer Protection Branch (Federal Bureau of Investigation),Rejected,https://www.muckrock.com/foi/united-states-of-america-10/alistair-reader-of-the-department-of-justice-consumer-protection-branch-federal-bureau-of-investigation-71145/,United States of America,10,Federal,United States of America,Federal Bureau of Investigation,10,,,"I am seeking all records that reference Alistair Reader of the Department of Justice Consumer Protection Branch.

This request should be construed to include Mr. Reader’s application(s) to any federal agency, inter, intra, and extra-agency documents composed, authored, or reviewed by Mr.Reader, as well as those documents composed by anyone else that simply reference Mr.Reader, and which are in the agency’s possession.

This request should also be construed to include but not be limited to, court documents, memoranda, interviews, memoranda of interviews, briefs, depositions, complaints, answers to complaints, interrogatories, emails, text messages, letters, files, subpoenas, warrants, search warrants, arrest warrants, petitions, affidavits, and all metadata related to any of the prior mentioned documents or e-documents.",1432973-000,FALSE,809,804,,,0.00,2019-03-30 12:29:45.537778+00:00,2019-04-26,2019-04-04 04:56:00+00:00,alistair-reader-of-the-department-of-justice-consumer-protection-branch-federal-bureau-of-investigation-71145
